Hyp,Name,Score2,Score1
DOWN ,down/022cd682_nohash_0, -2873, -797
DOWN ,down/096456f9_nohash_0, -1716, -954
DOWN ,down/0c40e715_nohash_0, -1739, -1043
DOWN ,down/0ea0e2f4_nohash_0, -1998, -866
DOWN ,down/0f250098_nohash_0, -2869, -1000
DOWN ,down/0f250098_nohash_1, -2360, -823
DOWN ,down/0fa1e7a9_nohash_0, -2679, -781
DOWN ,down/1528225c_nohash_0, -2078, -837
DOWN ,down/1b4c9b89_nohash_0, -2239, -1265
DOWN ,down/1b4c9b89_nohash_1, -1350, -1228
DOWN ,down/1b4c9b89_nohash_2, -2424, -1174
DOWN ,down/1b4c9b89_nohash_3, -2084, -1263
DOWN ,down/1b4c9b89_nohash_4, -1126, -966
DOWN ,down/1cb788bc_nohash_0, -1469, -1465
 ,down/1cb788bc_nohash_1, -632, -705
DOWN ,down/1cb788bc_nohash_2, -1943, -743
DOWN ,down/1f653d27_nohash_0, -2086, -758
DOWN ,down/1fe4c891_nohash_0, -1827, -680
DOWN ,down/1fe4c891_nohash_1, -2267, -661
DOWN ,down/1fe4c891_nohash_2, -2013, -967
DOWN ,down/20d3f11f_nohash_0, -2519, -1407
DOWN ,down/210f3aa9_nohash_0, -2368, -1218
DOWN ,down/26b28ea7_nohash_0, -2395, -957
DOWN ,down/26b28ea7_nohash_1, -3033, -764
DOWN ,down/2796ac50_nohash_0, -2212, -981
DOWN ,down/27c30960_nohash_0, -2311, -1432
DOWN ,down/27c30960_nohash_1, -2073, -1173
DOWN ,down/283d7a53_nohash_0, -1974, -839
DOWN ,down/283d7a53_nohash_1, -1335, -745
DOWN ,down/2c6d3924_nohash_0, -2478, -1069
DOWN ,down/2d82a556_nohash_0, -1716, -1030
DOWN ,down/2d82a556_nohash_1, -1544, -939
DOWN ,down/370844f7_nohash_0, -1836, -1015
DOWN ,down/37dca74f_nohash_0, -1858, -2062
DOWN ,down/37dca74f_nohash_1, -2249, -1681
DOWN ,down/37dca74f_nohash_2, -3193, -2708
DOWN ,down/37dca74f_nohash_3, -3064, -2011
DOWN ,down/37dca74f_nohash_4, -2325, -2097
DOWN ,down/37fc5d97_nohash_0, -2636, -1096
DOWN ,down/3c165869_nohash_0, -1591, -1090
DOWN ,down/3efef882_nohash_0, -2365, -861
DOWN ,down/3f170018_nohash_0, -2277, -686
NO ,down/3f2b358d_nohash_0, -447, -395
DOWN ,down/3f2b358d_nohash_1, -483, -2280
DOWN ,down/412c675c_nohash_0, -1919, -880
DOWN ,down/412c675c_nohash_1, -1966, -710
DOWN ,down/422d3197_nohash_0, -1351, -767
DOWN ,down/4290ca61_nohash_0, -2071, -697
DOWN ,down/42beb5eb_nohash_0, -2594, -945
DOWN ,down/42beb5eb_nohash_1, -2866, -961
DOWN ,down/44260689_nohash_0, -2570, -889
DOWN ,down/4620dc14_nohash_0, -2021, -739
DOWN ,down/4845bb10_nohash_0, -2733, -1390
DOWN ,down/4845bb10_nohash_1, -2285, -761
DOWN ,down/48a8a69d_nohash_0, -1977, -926
DOWN ,down/48a8a69d_nohash_1, -1677, -757
RIGHT ,down/4a0e2c16_nohash_0, -369, -2063
DOWN ,down/4c841771_nohash_0, -1900, -702
DOWN ,down/4c841771_nohash_1, -2108, -869
DOWN ,down/553f1a79_nohash_0, -2414, -726
DOWN ,down/553f1a79_nohash_1, -2155, -1000
DOWN ,down/563aa4e6_nohash_0, -2136, -1468
DOWN ,down/563aa4e6_nohash_1, -2245, -1306
DOWN ,down/563aa4e6_nohash_2, -1503, -940
DOWN ,down/563aa4e6_nohash_3, -2532, -1312
DOWN ,down/563aa4e6_nohash_4, -3160, -1693
DOWN ,down/5744b6a7_nohash_0, -1797, -1334
DOWN ,down/5744b6a7_nohash_1, -1355, -1178
DOWN ,down/5828dfa2_nohash_0, -1904, -1426
DOWN ,down/5828dfa2_nohash_1, -2485, -1631
DOWN ,down/5828dfa2_nohash_2, -1728, -1171
DOWN ,down/587f3271_nohash_0, -1953, -1429
DOWN ,down/587f3271_nohash_1, -1887, -703
DOWN ,down/5b1db3ee_nohash_0, -1812, -911
DOWN ,down/5c8af87a_nohash_0, -2293, -1499
DOWN ,down/5c8af87a_nohash_1, -2846, -2360
DOWN ,down/5c8af87a_nohash_2, -2212, -692
DOWN ,down/5c8af87a_nohash_3, -2754, -1485
DOWN ,down/5c8af87a_nohash_4, -2719, -1595
DOWN ,down/5e3dde6b_nohash_0, -1944, -1511
DOWN ,down/5e3dde6b_nohash_1, -1824, -1700
DOWN ,down/5e3dde6b_nohash_2, -2003, -1183
DOWN ,down/5e3dde6b_nohash_3, -2753, -1295
DOWN ,down/5e3dde6b_nohash_4, -2573, -1541
DOWN ,down/5f814c23_nohash_0, -2391, -1314
DOWN ,down/5ff3f9a1_nohash_0, -1379, -845
DOWN ,down/6021f08b_nohash_0, -1645, -1205
DOWN ,down/6205088b_nohash_0, -1949, -702
DOWN ,down/62ff07ef_nohash_0, -1906, -1790
DOWN ,down/6736bc64_nohash_0, -2176, -1193
DOWN ,down/67961766_nohash_0, -3017, -931
DOWN ,down/68dd409e_nohash_0, -1832, -837
DOWN DOWN ,down/692a88e6_nohash_0, -3187, -2202
DOWN ,down/692a88e6_nohash_1, -2093, -910
DOWN ,down/692a88e6_nohash_2, -3213, -1313
DOWN ,down/692a88e6_nohash_3, -2414, -1433
DOWN ,down/692a88e6_nohash_4, -2797, -1059
DOWN ,down/6f2f57c1_nohash_0, -2165, -882
DOWN ,down/6f2f57c1_nohash_1, -2440, -978
DOWN ,down/6f2f57c1_nohash_2, -1968, -939
DOWN ,down/6f2f57c1_nohash_3, -1812, -897
DOWN ,down/6f689791_nohash_0, -3138, -987
DOWN ,down/6f689791_nohash_1, -2191, -676
DOWN ,down/6f689791_nohash_2, -2139, -710
DOWN ,down/7192fddc_nohash_0, -1794, -989
DOWN ,down/7192fddc_nohash_1, -1965, -920
DOWN ,down/7257420c_nohash_0, -3982, -770
DOWN ,down/7257420c_nohash_1, -3546, -1362
DOWN ,down/7e1054e7_nohash_0, -2280, -862
DOWN ,down/7e1054e7_nohash_1, -2708, -992
DOWN ,down/8056e897_nohash_0, -3322, -1083
DOWN ,down/8056e897_nohash_1, -2339, -1678
DOWN ,down/80c45ed6_nohash_0, -2180, -991
DOWN ,down/80c45ed6_nohash_1, -2547, -1091
